index,weight,expression,train_ic,valid_ic,test_ic,train_rank_ic,valid_rank_ic,test_rank_ic,train_ls,valid_ls,test_ls,ic_decay_train_test,ic_sign_consistent,quality_score,quality_level
13,227.62471898470764,"Log(Var($low,20))",0.025433095726301952,0.018588238764957396,0.018016571713248775,0.025433095726301952,0.018588238764957393,0.01801657171324878,0.07087901817672174,0.052607903441038974,0.057130949488713535,0.007416524013053177,True,72.0,良好
15,-62.40967412007616,"Add(Div(Sub(Mul(Constant(10.0),$vwap),$volume),Sub(Constant(5.0),Mul($close,Constant(-30.0)))),Mul(Log($open),Abs(Sub($high,Constant(-0.01)))))",0.022147121411966775,0.01408364129860872,0.023002715780696285,0.022147121411966786,0.01408364129860873,0.023002715780696292,0.028478011195361048,-0.0039632019399167065,0.04083604308538781,-0.0008555943687295099,True,70.0,良好
4,-121.23895413901869,"Std(Mean($vwap,30),20)",0.020252278410291483,0.016415682320679425,0.01357598782417082,0.02025227841029149,0.016415682320679432,0.01357598782417083,0.04505215162586448,0.03663586383147917,0.0390733203584164,0.006676290586120664,True,70.0,良好
7,-227.14643528336575,"Mul(Constant(-10.0),$volume)",0.023771811341036057,0.017900243858291063,0.025613218385333102,0.023771811341036064,0.017900243858291073,0.025613218385333113,0.02487219926549658,-0.00833809913506485,0.03285560840304112,-0.001841407044297045,True,70.0,良好
0,226.00537815865815,$low,0.013038609877706999,0.0002803680069260138,0.013536618824465536,0.013038609877707007,0.0002803680069260099,0.013536618824465546,0.024821063273622063,-0.013231567895749155,0.028524462559551343,-0.0004980089467585373,True,60.0,良好
9,72.88878203108824,"Min($volume,10)",-0.012202792886349064,-0.0008979193751141011,-0.015572925082751812,-0.01220279288634907,-0.0008979193751140985,-0.015572925082751815,0.01990024516378762,0.09337264802989487,0.020901083920982153,0.003370132196402748,True,60.0,良好
18,-117.06039693407605,"Abs(Add(Mul(Constant(30.0),$close),Constant(-10.0)))",0.010186886542150423,0.006235008053549295,0.012112669930119687,0.010186886542150428,0.006235008053549298,0.012112669930119687,0.018437959707228484,0.015920428450552956,0.013522943556348995,-0.0019257833879692647,True,60.0,良好
11,83.27867135223946,"Mul(Add(Mul(Constant(1.0),Sub($volume,Mul(Constant(-5.0),$vwap))),Mul($high,Constant(30.0))),Sub(Sub($close,Less($close,Constant(-10.0))),Constant(-0.5)))",-0.019975648645080755,-0.015972790942298584,-0.014567856494708003,-0.019975648645080765,-0.01597279094229859,-0.014567856494708006,-0.018121373223373018,0.009406630545542303,0.007993526223189938,-0.005407792150372752,True,60.0,良好
10,-241.4796186629652,"Log(Sub(Mul($vwap,$volume),Constant(1.0)))",-0.016996922750355595,-0.024480514756866138,-0.015030880596341981,-0.016996922750355598,-0.02448051475686615,-0.015030880596341981,-0.011490734512509848,-0.02694165035810122,-0.0183408270901204,-0.001966042154013614,True,60.0,良好
6,-244.89634651406422,"Sub(Constant(-1.0),Div($open,$volume))",-0.020741300759097376,-0.011348406258348575,-0.021157555411405727,-0.020741300759097383,-0.011348406258348579,-0.021157555411405727,-0.025405673833280757,0.01926340450439355,-0.0339911134494897,0.000416254652308351,True,60.0,良好
5,-240.04474832745962,"Log(Mul(Constant(0.5),Sub(Add($vwap,Constant(30.0)),Sub(Sub(Constant(-1.0),Log(Abs(Greater($volume,Mul(Constant(1.0),$high))))),Abs($vwap)))))",-0.0052102748916836,-0.010374443502292793,-0.0007189753974986744,-0.005210274891683603,-0.0103744435022928,-0.0007189753974986735,0.00642594040335497,-3.10947150679196e-05,0.025820625518387565,-0.004491299494184925,True,60.0,良好
2,235.4268238693751,$volume,-0.02377099708639457,-0.017902694449546407,-0.02561974419274561,-0.023770997086394578,-0.017902694449546414,-0.02561974419274562,-0.02487219926549658,0.00833809913506485,-0.03285560840304112,0.0018487471063510404,True,60.0,良好
19,91.26364780839387,"Mul(Div(Less(Add(Add(Constant(-0.01),$vwap),Constant(2.0)),Constant(10.0)),Add(Div($high,Add($high,Constant(-5.0))),Constant(-1.0))),Constant(-10.0))",-0.00811949833113991,-0.01003227184821332,-0.012266113458767885,-0.008119498331139913,-0.010032271848213325,-0.012266113458767894,-0.02816489336120857,-0.002322072063252115,-0.020314759952112744,0.004146615127627975,True,60.0,良好
1,-195.34475739138503,"Sub(Less(Constant(-1.0),$vwap),$high)",-0.012885271812258788,-0.00010038817263701142,-0.013593544584481414,-0.012885271812258793,-0.00010038817263701142,-0.013593544584481422,-0.024469269059814128,0.012978235011941947,-0.0287242541948788,0.0007082727722226255,True,50.0,一般
12,-120.7020956196141,"Sub(Greater(Sub(Add(Constant(-5.0),$volume),Log($close)),Constant(-0.5)),$volume)",-0.01264818131017948,-0.0006311950420349379,-0.0121439369308796,-0.012648181310179486,-0.0006311950420349431,-0.012143936930879609,-0.02073575846719162,0.002716773960446833,-0.02975571394279318,-0.0005042443792998806,True,50.0,一般
14,195.2433951464767,"Sub(Mul(Less(Sub(Greater(Add(Constant(1.0),Log($vwap)),$open),Constant(1.0)),Constant(30.0)),Div($high,Constant(-1.0))),Constant(5.0))",-0.006530864780664379,-0.005011704249436899,-0.010484545817835934,-0.006530864780664383,-0.0050117042494369005,-0.010484545817835934,-0.017998076722131277,0.0030584257361225046,-0.03890900837977722,0.0039536810371715555,True,50.0,一般
3,-206.87414422781993,"Sub(Sub(Mul(Constant(-2.0),$open),Div(Constant(0.5),$open)),Constant(0.5))",-0.003147366221449147,-0.008338273437558151,-0.008767400583065079,-0.0031473662214491493,-0.008338273437558157,-0.008767400583065082,-0.004494073530323695,-0.005002343289815346,-0.030624496389762078,0.005620034361615931,True,50.0,一般
17,-221.27445413057683,"Add(Add(Add(Sub(Greater(Constant(1.0),Div(Less(Mul(Abs($open),Constant(5.0)),Constant(0.5)),Log($close))),$high),Constant(-0.5)),Constant(-1.0)),Constant(1.0))",-0.014461497379450997,-0.001186948922759503,-0.013647314176300161,-0.014461497379451007,-0.0011869489227594992,-0.013647314176300171,-0.02621750811898588,0.01710478682973583,-0.032601851576581256,-0.000814183203150836,True,50.0,一般
8,-243.4910940001534,"Log(Add(Add(Constant(30.0),Div(Mul($vwap,Constant(0.5)),Log(Sub(Sub(Div(Sub(Constant(-0.5),$vwap),Constant(0.5)),$high),Constant(-5.0))))),Constant(-5.0)))",0.00808748332044493,-0.002160198246282441,0.0036749679204029443,0.00808748332044493,-0.0021601982462824436,0.0036749679204029443,0.014674491891234738,-0.014458056052700502,0.02253503853624,0.004412515400041986,False,35.0,较差
16,145.76043084918808,"Log(Sub(Div(Add(Abs(Add(Constant(-0.01),Add(Mul($vwap,Constant(0.5)),Constant(-10.0)))),Less(Add(Constant(-5.0),$high),Constant(0.5))),Constant(-5.0)),Constant(-5.0)))",-0.006589766212121825,0.0035812361128027934,-0.003354155524436184,-0.006589766212121825,0.0035812361128027947,-0.0033541555244361813,-0.0181193877432688,-0.00013840744083515045,-0.008701630542476135,-0.003235610687685641,False,32.0,较差
